3960 6448
0	1.9	12
0	0.95	12
0.377464	1.25	12
0.00296436	1.3	11.8
0.0130735	0.65	11.6
0.0110525	1.5	11.6
0	0.9	11.2
0	0.95	11.2
0.00352687	2.05	11.2
0.0569812	2.6	10.8
0.595601	2.1	10.8
0.00963823	1.75	10.8
0	1.35	10.8
0	1.65	10.8
0.0294079	1.6	10.8
0.095664	1.95	10.8
0.123504	2.65	10.4
0.0721904	1.75	10.4
0.0747375	1.45	10.4
0	1.25	10.4
0.00261299	1.05	10.4
0	0.7	10.4
0.0448425	1.15	10.4
0	0.75	10.4
0.186337	0.8	10.4
0.229192	1.4	10.4
1.15747	0.35	10.7
1.58432	0.25	10.9
0.292694	1.4	11.2
0	1.2	11.2
0.015279	1.55	11
0	1.55	10.6
0.0159518	2.1	10
0.615935	1.85	10
0.170493	1.75	9.9
0.0169459	1.95	9.8
0.201415	2.4	9.3
0.0158842	1.4	9
0.00359681	2.75	9.2
0	1.9	9.6
0	2.3	9.6
0	2.45	9.6
0	1.15	9.3
0	2.25	9.3
0.0627795	3	9.3
0.00700753	1.8	9.3
0.0849342	0.95	9.3
0.0239384	0.75	9.3
0.00783896	1.4	9.3
0	2.35	9.3
0	3.2	9.3
0	2.4	9.3
0	3	9.3
0	2.75	9.3
0.721215	2.9	9.3
0.240571	2.8	9.4
0.158067	2.1	9.7
0	2.1	10.1
0.0142817	2.85	10.1
0.0834043	3	9.9
0.830254	2.3	9.7
1.03207	1.6	9.7
5.41161	3	9.9
0.488395	2.3	10.7
0.0393444	2.45	11
0.020505	3.25	11
0.443696	2.55	10.6
0.0826718	3.15	10.5
1.14246	3.6	10.5
0.675841	3.45	10.5
0.133659	3.55	11.1
0.854	2.6	12.2
0.761437	2.7	12.9
0.0352687	3.75	13
0	3.9	12.5
0	4.95	11.8
0.033324	4.9	11.2
0	4.4	11.2
0.0393444	6.15	11.4
1.61043	1.15	11.9
1.68563	1.4	12.7
0.0285634	4	13.7
0.0952113	3.65	14.1
0.390658	3.15	14.1
0.0461089	2.3	13.9
0.119716	2.2	13.3
1.30829	2.25	12.6
0.181928	2	12.3
0	4.85	11.5
2.3552	2.65	11.2
0	2.45	11.6
0	2.4	12.2
0	3.5	12.5
0.163498	4.3	12.5
2.71378	3.85	12.1
1.86867	3.85	13.9
0	3.2	17.8
0.0310168	3.5	18.5
0.0961246	2.95	17.5
0.552169	4	17.3
11.0481	2.9	18.1
0.275739	4.85	19
2.34499	3.7	21.1
0.00570079	2.65	24.6
0	4.9	23.9
0.0104519	4.55	23
0.0130649	4.7	21.1
0	5.9	21.3
0.0891275	5.75	21.7
0.076395	4.85	19.9
4.04391	5.95	17.5
3.23611	3.4	15.6
0.0891275	7.1	15.2
6.38207	3.6	15.3
1.79276	2.55	18.4
0.028536	3.8	20.1
0.0190083	4.4	20.9
0	4.25	20.3
0	5.3	19.5
0	4.6	19.8
0.0113391	9.7	19.2
0	7.8	17.5
0.215244	7.05	16.1
0	6.9	14.3
0.136562	4.5	13
1.16582	4.8	12.5
10.3338	4.1	12.5
0.00889308	5.6	13.7
0.00236558	6.65	14.6
8.63168	3.4	15.1
11.8953	2.65	15.5
1.66059	4.7	18.7
0.00368417	3.65	72.3
14.9605	5.15	52.3
0.449624	6.4	48.2
2.00857	5.95	86.4
0.522924	3.1	60.3
4.63133	3.6	44
0	3.9	34.9
0.417238	6.05	30.8
0.0922938	4.85	28.7
2.96709	4.3	24.6
0.471697	6.6	22
5.89174	4.1	20.4
6.90984	3.8	21.2
0.148492	5.3	25.3
0	8.4	32.4
0.148473	5.3	32.9
0	5.35	25.4
1.0693	8.05	21.9
7.15647	8.7	19
12.3049	4.15	17.5
0.274993	5	28.7
0.147487	4.75	64.2
0.292368	7.1	39.4
1.56104	5.35	28.7
2.08648	3.8	24.1
0.754401	5.45	22.2
0	4.3	21.1
1.18396	4.65	19.4
5.13189	3.45	17.5
0.272423	4.55	16.5
0	7.1	16.2
0.0025465	8.9	15.1
0	9.8	13.8
0	9.55	12.3
29.916	5.75	15.2
1.08147	5.8	71.5
1.82179	5.9	69.4
4.42405	4.75	44.1
0.226532	6.55	38.1
0.0242017	5.95	35.3
2.6601	4.75	29
18.424	5.05	26.6
18.4826	1.05	96.6
1.46676	3.05	214
0	4.15	195
0	7.15	106
0.57514	5.5	69.8
4.19756	5.9	52.6
3.20672	6.55	43.3
4.13379	5.5	50.8
12.133	2.35	48.2
52.0991	1	52.9
6.87047	0.9	749
0	4.3	595
0	6.2	221
0.00736834	6.05	128
7.08678	3.95	86.4
9.82609	1.5	70.8
